Time (Microsecond),Voltage (V)
-50.0,0.0109375000000007
-49.9,0.0071875000000005
-49.8,0.0034375000000004
-49.7,-0.0053125000000005
-49.6,0.0196874999999999
-49.5,0.0021874999999997
-49.4,-0.0128125000000008
-49.3,-0.0315624999999997
-49.2,-0.0453124999999996
-49.1,-0.0290625000000002
-49.0,0.0059374999999999
-48.9,0.0109375000000007
-48.8,0.0221874999999994
-48.7,0.0359374999999993
-48.6,0.0421875000000007
-48.5,0.0221874999999994
-48.4,-0.0003124999999997
-48.3,-0.0103124999999995
-48.2,-0.0240624999999994
-48.1,-0.0328125000000004
-48.0,-0.0290625000000002
-47.9,-0.0115625000000001
-47.8,0.0009374999999991
-47.7,-0.0040624999999998
-47.6,0.0009374999999991
-47.5,0.0121874999999996
-47.4,0.0096875
-47.3,0.0071875000000005
-47.2,-0.0015625000000003
-47.1,-0.0090625000000006
-47.0,-0.0065624999999993
-46.9,-0.0078125
-46.8,-0.0015625000000003
-46.7,-0.0015625000000003
-46.6,0.0059374999999999
-46.5,0.0121874999999996
-46.4,0.0159374999999997
-46.3,0.0134375000000002
-46.2,0.0071875000000005
-46.1,-0.0028124999999992
-46.0,-0.0128125000000008
-45.9,-0.0078125
-45.8,0.0134375000000002
-45.7,0.0209375000000005
-45.6,0.0059374999999999
-45.5,0.0034375000000004
-45.4,0.0084374999999994
-45.3,0.0021874999999997
-45.2,-0.0240624999999994
-45.1,-0.0165624999999991
-45.0,-0.0003124999999997
-44.9,0.0071875000000005
-44.8,0.0046874999999992
-44.7,0.0159374999999997
-44.6,0.0271875000000001
-44.5,0.0209375000000005
-44.4,0.0246875000000006
-44.3,0.0171875000000004
-44.2,0.0121874999999996
-44.1,0.0096875
-44.0,0.0059374999999999
-43.9,-0.0003124999999997
-43.8,0.0034375000000004
-43.7,0.0059374999999999
-43.6,0.0034375000000004
-43.5,0.0071875000000005
-43.4,0.0084374999999994
-43.3,0.0184374999999992
-43.2,0.0171875000000004
-43.1,0.0171875000000004
-43.0,0.0096875
-42.9,0.0021874999999997
-42.8,0.0059374999999999
-42.7,0.0096875
-42.6,0.0034375000000004
-42.5,-0.0028124999999992
-42.4,0.0071875000000005
-42.3,0.0071875000000005
-42.2,0.0134375000000002
-42.1,0.0046874999999992
-42.0,0.0046874999999992
-41.9,0.0109375000000007
-41.8,0.0121874999999996
-41.7,0.0221874999999994
-41.6,0.0484375000000004
-41.5,0.0471874999999997
-41.4,-0.0328125000000004
-41.3,-0.0728124999999995
-41.2,-0.0115625000000001
-41.1,0.0109375000000007
-41.0,-0.0215624999999999
-40.9,-0.0028124999999992
-40.8,0.0621875000000003
-40.7,0.0821874999999999
-40.6,0.0446875000000002
-40.5,0.0196874999999999
